Training Loss	Validation Loss	Test Loss	
 5.9878e+00	 5.5227e+00	 5.4664e+00	
 5.3281e+00	 5.2236e+00	 5.1672e+00	
 5.0744e+00	 5.0626e+00	 5.0071e+00	
 4.9017e+00	 4.9687e+00	 4.9177e+00	
 4.7684e+00	 4.8866e+00	 4.8340e+00	
 4.6416e+00	 4.8349e+00	 4.7807e+00	
 4.5749e+00	 4.8049e+00	 4.7520e+00	
 4.5410e+00	 4.7929e+00	 4.7398e+00	
 4.5254e+00	 4.7858e+00	 4.7327e+00	
 4.5156e+00	 4.7818e+00	 4.7291e+00	
 4.5116e+00	 4.7797e+00	 4.7269e+00	
 4.5097e+00	 4.7790e+00	 4.7259e+00	
 4.5084e+00	 4.7786e+00	 4.7255e+00	
 4.5078e+00	 4.7784e+00	 4.7253e+00	
 4.5083e+00	 4.7784e+00	 4.7252e+00	
 4.5077e+00	 4.7783e+00	 4.7251e+00	
 4.5068e+00	 4.7783e+00	 4.7251e+00	
 4.5063e+00	 4.7783e+00	 4.7251e+00	
 4.5052e+00	 4.7783e+00	 4.7251e+00	
 4.5071e+00	 4.7783e+00	 4.7251e+00	
 4.5079e+00	 4.7783e+00	 4.7251e+00	
 4.5064e+00	 4.7783e+00	 4.7251e+00	
 4.5069e+00	 4.7783e+00	 4.7251e+00	
 4.5057e+00	 4.7783e+00	 4.7251e+00	
 4.5066e+00	 4.7783e+00	 4.7251e+00	
 4.5068e+00	 4.7783e+00	 4.7251e+00	
 4.5077e+00	 4.7783e+00	 4.7251e+00	
 4.5074e+00	 4.7783e+00	 4.7251e+00	
 4.5068e+00	 4.7783e+00	 4.7251e+00	
 4.5068e+00	 4.7783e+00	 4.7251e+00	
 4.5059e+00	 4.7783e+00	 4.7251e+00	
 4.5070e+00	 4.7783e+00	 4.7251e+00	
 4.5066e+00	 4.7783e+00	 4.7251e+00	
 4.5068e+00	 4.7783e+00	 4.7251e+00	
 4.5061e+00	 4.7783e+00	 4.7251e+00	
 4.5067e+00	 4.7783e+00	 4.7251e+00	
 4.5064e+00	 4.7783e+00	 4.7251e+00	
 4.5070e+00	 4.7783e+00	 4.7251e+00	
 4.5062e+00	 4.7783e+00	 4.7251e+00	
 4.5071e+00	 4.7783e+00	 4.7251e+00	
 4.5065e+00	 4.7783e+00	 4.7251e+00	
 4.5076e+00	 4.7783e+00	 4.7251e+00	
 4.5067e+00	 4.7783e+00	 4.7251e+00	
 4.5065e+00	 4.7783e+00	 4.7251e+00	
 4.5070e+00	 4.7783e+00	 4.7251e+00	
 4.5070e+00	 4.7783e+00	 4.7251e+00	
 4.5067e+00	 4.7783e+00	 4.7251e+00	
 4.5055e+00	 4.7783e+00	 4.7251e+00	
 4.5071e+00	 4.7783e+00	 4.7251e+00	
 4.5081e+00	 4.7783e+00	 4.7251e+00	
 4.5075e+00	 4.7783e+00	 4.7251e+00	
 4.5070e+00	 4.7783e+00	 4.7251e+00	
 4.5059e+00	 4.7783e+00	 4.7251e+00	
 4.5065e+00	 4.7783e+00	 4.7251e+00	
 4.5069e+00	 4.7783e+00	 4.7251e+00	
 4.5075e+00	 4.7783e+00	 4.7251e+00	
 4.5057e+00	 4.7783e+00	 4.7251e+00	
